Name,Index No,Email,Phone,Academic Year,Dues Paid,Receipt No,Programme of Study,payment date,password,position
"Abel , Lukas",323010030,Abel.Lukas@htu.edu.gh,+233242756433,2023-2024, 105.00 , CSD22342123 ,BTech Information Communication Technology,04.09.2023,Q2LZj4goA,student
"Albert , Joan",324010003,Albert.Joan@htu.edu.gh,+233208199346,2024-2025, 150.00 , CSD24363624 ,BTech Computer Science,04.09.2024,EWKaZoMMbaJuqbS,student
"Albrecht , Leon",324011001,Albrecht.Leon@htu.edu.gh,+233243642259,2024-2025, 150.00 , CSD26385124 ,BTech Information Communication Technology,04.09.2024,Dpkrxz3vHiuJqFD,student
"Asante , Thomas",323010001,Asante.homas@htu.edu.gh,+233259085172,2023-2024, 105.00 , CSD28406623 ,BTech Computer Science,04.09.2023,Kdj2jwwu7HojEnK,student
"Augustin , Benno",324011006,Augustin.Benno@htu.edu.gh,+233544528085,2024-2025, 150.00 , CSD30428124 ,HND Information Communication Technology,04.09.2024,YQexudO,student
"Baecker , Cathrine",323010031,Baecker.Cathrine@htu.edu.gh,+233569970998,2023-2024, 105.00 , CSD32449623 ,HND Computer Science,03.09.2023,P9rejuUqMYeNM3lG,student
"Bake , Leo Richard",323010032,Bake.LeoRichard@htu.edu.gh,+233565413911,2023-2024, 105.00 , CSD34471123 ,HND Information Communication Technology,03.09.2023,Nt1ExhpY2ktO,student
"Barsikow , Winnie",324011009,Barsikow.Winnie@htu.edu.gh,+233544856824,2024-2025, 150.00 , CSD36492624 ,BTech Information Communication Technology,04.09.2024,OVMz8tVagl3iF2QO,student
"Bauch , Tristan",324011010,Bauch.Tristan@htu.edu.gh,+233544700263,2024-2025, 150.00 , CSD38514124 ,BTech Information Communication Technology,04.09.2024,R8sIiavBYtbuWNW,student
"Beck , Marcel",323010033,Beck.Marcel@htu.edu.gh,+233568257350,2023-2024, 105.00 , CSD40535623 ,HND Computer Science,03.09.2023,QBdIvMl8wiol5z8X,supervisor
"Bedzoh , Tabea",324011012,Bedzoh.Tabea@htu.edu.gh,+233502814437,2024-2025, 150.00 , CSD42557124 ,HND Information Communication Technology,04.09.2024,HRadtz3ueFewnl5R,student
"Beland , Timothy",324011013,Beland.Timothy@htu.edu.gh,+233241373715,2024-2025, 150.00 , CSD44578624 ,BTech Information Communication Technology,04.09.2024,UwupoxMDrL,student
"Benke , Ann-Cathrine",324011014,Benke.Ann-Cathrine@htu.edu.gh,+233201928611,2024-2025, 150.00 , CSD46600124 ,HND Information Communication Technology,04.09.2024,PiebswtU,student
"Beigner , Lena",323010002,Beigner.Lena@htu.edu.gh,+233206485698,2023-2024, 105.00 , CSD48621623 ,BTech Computer Science,04.09.2023,WgrbzxiT9K5cOV,student
"Benz , Tom",324011016,Benz.Tom@htu.edu.gh,+233241042785,2024-2025, 150.00 , CSD50643124 ,HND Information Communication Technology,04.09.2024,j0q8s9j4z8qP,student
"Bandoh , Stev",324011017,Bandoh.Stev@htu.edu.gh,+233275599872,2024-2025, 150.00 , CSD52664624 ,BTech Information Communication Technology,04.09.2024,UewMik5KqM,student
"Blank , Michael",324011018,Blank.Michael@htu.edu.gh,+233201015695,2024-2025, 150.00 , CSD54686124 ,BTech Information Communication Technology,04.09.2024,Ig4ScGbo2cB0BiyF,student
"Bansah , Alexander",323010003,Bansah.Alexander@htu.edu.gh,+233244714046,2023-2024, 105.00 , CSD56707623 ,BTech Computer Science,04.09.2023,XigUanMFgB,student
